,ORIG_YEAR,LOAN_AGE,ULT_REPURCHASE_LOAN_COUNT,ULT_REPURCHASE_UPB,ULT_ORIG_UPB_AT_TERMINAL,ORIG_LOAN_COUNT,ORIG_UPB,LOAN_AGE_MAX,REPURCHASE_UPB,ORIG_UPB_AT_TERMINAL,CUM_COUNT,CUM_UPB,CUM_ORIG_UPB_AT_TERMINAL,ult_repurch_rate,age_repurch_rate,age_ult_diff,ult_repurch_upb_rate,age_repurch_upb_rate,age_ult_upb_diff,age_repurch_orig_upb_at_terminal_rate
238,1999,52,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,342178.0,430000.0,544.0,41168708.0,53910000.0,0.494,0.34,0.15399999999999997,0.36,0.216,0.144,0.282
239,1999,53,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,141386.0,279000.0,549.0,41310094.0,54189000.0,0.494,0.343,0.15099999999999997,0.36,0.216,0.144,0.284
5,1999,54,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,52967.0,124000.0,553.0,41363061.0,54313000.0,0.494,0.346,0.14800000000000002,0.36,0.217,0.143,0.284
240,1999,55,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,352025.0,367000.0,557.0,41715086.0,54680000.0,0.494,0.348,0.14600000000000002,0.36,0.218,0.142,0.286
241,1999,56,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,199457.0,378000.0,563.0,41914543.0,55058000.0,0.494,0.352,0.14200000000000002,0.36,0.219,0.141,0.288
242,1999,57,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,75390.0,314000.0,566.0,41989933.0,55372000.0,0.494,0.354,0.14,0.36,0.22,0.13999999999999999,0.29
243,1999,58,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,276876.0,387000.0,573.0,42266809.0,55759000.0,0.494,0.358,0.136,0.36,0.221,0.13899999999999998,0.292
244,1999,59,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,249405.0,257000.0,578.0,42516214.0,56016000.0,0.494,0.361,0.133,0.36,0.223,0.13699999999999998,0.293
245,1999,60,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,705953.0,753000.0,590.0,43222167.0,56769000.0,0.494,0.369,0.125,0.36,0.226,0.13399999999999998,0.297
246,1999,61,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,271276.0,317000.0,596.0,43493443.0,57086000.0,0.494,0.373,0.121,0.36,0.228,0.13199999999999998,0.299
247,1999,62,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,49334.0,166000.0,600.0,43542777.0,57252000.0,0.494,0.375,0.119,0.36,0.228,0.13199999999999998,0.3
6,1999,63,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,433245.0,448000.0,608.0,43976022.0,57700000.0,0.494,0.38,0.11399999999999999,0.36,0.23,0.12999999999999998,0.302
248,1999,64,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,173587.0,806000.0,618.0,44149609.0,58506000.0,0.494,0.386,0.10799999999999998,0.36,0.231,0.12899999999999998,0.306
249,1999,65,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,163999.0,271000.0,621.0,44313608.0,58777000.0,0.494,0.388,0.10599999999999998,0.36,0.232,0.12799999999999997,0.308
250,1999,66,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,234800.0,308000.0,626.0,44548408.0,59085000.0,0.494,0.391,0.10299999999999998,0.36,0.233,0.12699999999999997,0.309
251,1999,67,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,194133.0,389000.0,632.0,44742541.0,59474000.0,0.494,0.395,0.09899999999999998,0.36,0.234,0.12599999999999997,0.311
252,1999,68,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,104780.0,219000.0,636.0,44847321.0,59693000.0,0.494,0.398,0.09599999999999997,0.36,0.235,0.125,0.313
253,1999,69,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,59348.0,63000.0,639.0,44906669.0,59756000.0,0.494,0.399,0.09499999999999997,0.36,0.235,0.125,0.313
254,1999,70,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,115026.0,250000.0,643.0,45021695.0,60006000.0,0.494,0.402,0.09199999999999997,0.36,0.236,0.124,0.314
255,1999,71,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,214885.0,303000.0,649.0,45236580.0,60309000.0,0.494,0.406,0.08799999999999997,0.36,0.237,0.123,0.316
7,1999,72,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,9693.0,10000.0,650.0,45246273.0,60319000.0,0.494,0.406,0.08799999999999997,0.36,0.237,0.123,0.316
256,1999,73,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,155962.0,434000.0,654.0,45402235.0,60753000.0,0.494,0.409,0.08500000000000002,0.36,0.238,0.122,0.318
257,1999,74,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,112928.0,162000.0,658.0,45515163.0,60915000.0,0.494,0.411,0.08300000000000002,0.36,0.238,0.122,0.319
258,1999,75,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,267720.0,408000.0,663.0,45782883.0,61323000.0,0.494,0.414,0.08000000000000002,0.36,0.24,0.12,0.321
259,1999,76,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,33409.0,177000.0,667.0,45816292.0,61500000.0,0.494,0.417,0.07700000000000001,0.36,0.24,0.12,0.322
260,1999,77,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,90083.0,96000.0,669.0,45906375.0,61596000.0,0.494,0.418,0.07600000000000001,0.36,0.24,0.12,0.323
261,1999,78,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,116380.0,222000.0,674.0,46022755.0,61818000.0,0.494,0.421,0.07300000000000001,0.36,0.241,0.119,0.324
262,1999,79,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,27502.0,488000.0,681.0,46050257.0,62306000.0,0.494,0.426,0.068,0.36,0.241,0.119,0.326
263,1999,80,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,56216.0,61000.0,683.0,46106473.0,62367000.0,0.494,0.427,0.067,0.36,0.241,0.119,0.327
264,1999,81,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,254151.0,349000.0,688.0,46360624.0,62716000.0,0.494,0.43,0.064,0.36,0.243,0.11699999999999999,0.328
265,1999,82,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,92686.0,311000.0,694.0,46453310.0,63027000.0,0.494,0.434,0.06,0.36,0.243,0.11699999999999999,0.33
266,1999,83,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,694.0,46453310.0,63027000.0,0.494,0.434,0.06,0.36,0.243,0.11699999999999999,0.33
267,1999,84,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,30408.0,191000.0,697.0,46483718.0,63218000.0,0.494,0.436,0.057999999999999996,0.36,0.243,0.11699999999999999,0.331
268,1999,85,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,585.0,46000.0,698.0,46484303.0,63264000.0,0.494,0.436,0.057999999999999996,0.36,0.243,0.11699999999999999,0.331
269,1999,86,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,53177.0,95000.0,700.0,46537480.0,63359000.0,0.494,0.438,0.055999999999999994,0.36,0.244,0.11599999999999999,0.332
270,1999,87,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,2753.0,130000.0,702.0,46540233.0,63489000.0,0.494,0.439,0.05499999999999999,0.36,0.244,0.11599999999999999,0.332
271,1999,88,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,116104.0,291000.0,706.0,46656337.0,63780000.0,0.494,0.441,0.05299999999999999,0.36,0.244,0.11599999999999999,0.334
272,1999,89,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,14352.0,77000.0,708.0,46670689.0,63857000.0,0.494,0.443,0.05099999999999999,0.36,0.244,0.11599999999999999,0.334
273,1999,90,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,108540.0,380000.0,715.0,46779229.0,64237000.0,0.494,0.447,0.046999999999999986,0.36,0.245,0.11499999999999999,0.336
274,1999,91,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,40293.0,154000.0,717.0,46819522.0,64391000.0,0.494,0.448,0.045999999999999985,0.36,0.245,0.11499999999999999,0.337
275,1999,92,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,11383.0,12000.0,718.0,46830905.0,64403000.0,0.494,0.449,0.044999999999999984,0.36,0.245,0.11499999999999999,0.337
276,1999,93,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,72088.0,78000.0,720.0,46902993.0,64481000.0,0.494,0.45,0.043999999999999984,0.36,0.246,0.11399999999999999,0.338
277,1999,94,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,35416.0,153000.0,723.0,46938409.0,64634000.0,0.494,0.452,0.04199999999999998,0.36,0.246,0.11399999999999999,0.338
278,1999,95,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,13446.0,15000.0,724.0,46951855.0,64649000.0,0.494,0.453,0.04099999999999998,0.36,0.246,0.11399999999999999,0.339
279,1999,96,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,222694.0,218000.0,726.0,47174549.0,64867000.0,0.494,0.454,0.03999999999999998,0.36,0.247,0.11299999999999999,0.34
280,1999,97,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,726.0,47174549.0,64867000.0,0.494,0.454,0.03999999999999998,0.36,0.247,0.11299999999999999,0.34
281,1999,98,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,104286.0,113000.0,728.0,47278835.0,64980000.0,0.494,0.455,0.03899999999999998,0.36,0.248,0.11199999999999999,0.34
282,1999,99,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,72243.0,85000.0,729.0,47351078.0,65065000.0,0.494,0.456,0.03799999999999998,0.36,0.248,0.11199999999999999,0.341
283,1999,100,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,27285.0,30000.0,730.0,47378363.0,65095000.0,0.494,0.456,0.03799999999999998,0.36,0.248,0.11199999999999999,0.341
284,1999,101,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,26711.0,29000.0,731.0,47405074.0,65124000.0,0.494,0.457,0.03699999999999998,0.36,0.248,0.11199999999999999,0.341
285,1999,102,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,126363.0,124000.0,734.0,47531437.0,65248000.0,0.494,0.459,0.034999999999999976,0.36,0.249,0.11099999999999999,0.342
286,1999,103,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,127087.0,166000.0,736.0,47658524.0,65414000.0,0.494,0.46,0.033999999999999975,0.36,0.25,0.10999999999999999,0.343
287,1999,104,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,67205.0,74000.0,737.0,47725729.0,65488000.0,0.494,0.461,0.032999999999999974,0.36,0.25,0.10999999999999999,0.343
288,1999,105,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,14387.0,16000.0,738.0,47740116.0,65504000.0,0.494,0.461,0.032999999999999974,0.36,0.25,0.10999999999999999,0.343
289,1999,106,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,738.0,47740116.0,65504000.0,0.494,0.461,0.032999999999999974,0.36,0.25,0.10999999999999999,0.343
290,1999,107,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,738.0,47740116.0,65504000.0,0.494,0.461,0.032999999999999974,0.36,0.25,0.10999999999999999,0.343
291,1999,108,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,121757.0,132000.0,739.0,47861873.0,65636000.0,0.494,0.462,0.03199999999999997,0.36,0.251,0.10899999999999999,0.344
292,1999,109,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,37705.0,44000.0,740.0,47899578.0,65680000.0,0.494,0.463,0.030999999999999972,0.36,0.251,0.10899999999999999,0.344
293,1999,110,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,740.0,47899578.0,65680000.0,0.494,0.463,0.030999999999999972,0.36,0.251,0.10899999999999999,0.344
294,1999,111,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,159815.0,180000.0,741.0,48059393.0,65860000.0,0.494,0.463,0.030999999999999972,0.36,0.252,0.10799999999999998,0.345
295,1999,112,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,741.0,48059393.0,65860000.0,0.494,0.463,0.030999999999999972,0.36,0.252,0.10799999999999998,0.345
296,1999,113,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,56884.0,63000.0,743.0,48116277.0,65923000.0,0.494,0.464,0.02999999999999997,0.36,0.252,0.10799999999999998,0.345
297,1999,114,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,24633.0,27000.0,744.0,48140910.0,65950000.0,0.494,0.465,0.02899999999999997,0.36,0.252,0.10799999999999998,0.345
298,1999,115,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,81592.0,89000.0,746.0,48222502.0,66039000.0,0.494,0.466,0.02799999999999997,0.36,0.253,0.10699999999999998,0.346
299,1999,116,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,746.0,48222502.0,66039000.0,0.494,0.466,0.02799999999999997,0.36,0.253,0.10699999999999998,0.346
300,1999,117,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,15760.0,19000.0,747.0,48238262.0,66058000.0,0.494,0.467,0.02699999999999997,0.36,0.253,0.10699999999999998,0.346
301,1999,118,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,21926.0,26000.0,748.0,48260188.0,66084000.0,0.494,0.468,0.025999999999999968,0.36,0.253,0.10699999999999998,0.346
302,1999,119,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,748.0,48260188.0,66084000.0,0.494,0.468,0.025999999999999968,0.36,0.253,0.10699999999999998,0.346
303,1999,120,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,748.0,48260188.0,66084000.0,0.494,0.468,0.025999999999999968,0.36,0.253,0.10699999999999998,0.346
304,1999,121,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,60085.0,65000.0,749.0,48320273.0,66149000.0,0.494,0.468,0.025999999999999968,0.36,0.253,0.10699999999999998,0.346
305,1999,122,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,749.0,48320273.0,66149000.0,0.494,0.468,0.025999999999999968,0.36,0.253,0.10699999999999998,0.346
306,1999,123,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,749.0,48320273.0,66149000.0,0.494,0.468,0.025999999999999968,0.36,0.253,0.10699999999999998,0.346
307,1999,124,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,15786.0,18000.0,750.0,48336059.0,66167000.0,0.494,0.469,0.025000000000000022,0.36,0.253,0.10699999999999998,0.346
308,1999,125,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,750.0,48336059.0,66167000.0,0.494,0.469,0.025000000000000022,0.36,0.253,0.10699999999999998,0.346
309,1999,126,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,,,750.0,48336059.0,66167000.0,0.494,0.469,0.025000000000000022,0.36,0.253,0.10699999999999998,0.346
310,1999,127,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,18658.0,21000.0,751.0,48354717.0,66188000.0,0.494,0.469,0.025000000000000022,0.36,0.253,0.10699999999999998,0.347
311,1999,128,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,30219.0,34000.0,752.0,48384936.0,66222000.0,0.494,0.47,0.02400000000000002,0.36,0.253,0.10699999999999998,0.347
312,1999,129,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,13283.0,15000.0,753.0,48398219.0,66237000.0,0.494,0.471,0.02300000000000002,0.36,0.253,0.10699999999999998,0.347
313,1999,130,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,19804.0,23000.0,754.0,48418023.0,66260000.0,0.494,0.471,0.02300000000000002,0.36,0.254,0.10599999999999998,0.347
